,City,State,Population,Latitude,Longitude,APICode,AdministrativeArea.CountryID,AdministrativeArea.EnglishName,AdministrativeArea.EnglishType,AdministrativeArea.ID,AdministrativeArea.Level,AdministrativeArea.LocalizedName,AdministrativeArea.LocalizedType,Country.EnglishName,Country.ID,Country.LocalizedName,DataSets,EnglishName,GeoPosition.Elevation.Imperial.Unit,GeoPosition.Elevation.Imperial.UnitType,GeoPosition.Elevation.Imperial.Value,GeoPosition.Elevation.Metric.Unit,GeoPosition.Elevation.Metric.UnitType,GeoPosition.Elevation.Metric.Value,GeoPosition.Latitude,GeoPosition.Longitude,IsAlias,Key,LocalizedName,PrimaryPostalCode,Rank,Region.EnglishName,Region.ID,Region.LocalizedName,SupplementalAdminAreas,TimeZone.Code,TimeZone.GmtOffset,TimeZone.IsDaylightSaving,TimeZone.Name,TimeZone.NextOffsetChange,Type,Version
0,New York,New York,8398748,40.6635,-73.9387,40.6635%2C-73.9387,US,New York,State,NY,1,New York,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",East Flatbush,ft,0,42,m,5,13,40.654,-73.93,FALSE,2102350,East Flatbush,11203,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Kings', 'EnglishName': 'Kings'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
1,Los Angeles,California,3990456,34.0194,-118.41,34.0194%2C-118.41,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Palms,ft,0,98,m,5,30,34.023,-118.406,FALSE,2178430,Palms,90034,85,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Los Angeles', 'EnglishName': 'Los Angeles'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
2,Chicago,Illinois,2705994,41.8376,-87.6818,41.8376%2C-87.6818,US,Illinois,State,IL,1,Illinois,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Lower West Side,ft,0,590,m,5,180,41.854,-87.666,FALSE,2094443,Lower West Side,60608,55,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Cook', 'EnglishName': 'Cook'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
3,Houston,Texas,2325502,29.7866,-95.3909,29.7866%2C-95.3909,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Houston,ft,0,26,m,5,8,29.763,-95.363,FALSE,351197,Houston,77002,25,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Harris', 'EnglishName': 'Harris'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
4,Phoenix,Arizona,1660272,33.5722,-112.09,33.5722%2C-112.09,US,Arizona,State,AZ,1,Arizona,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Phoenix,ft,0,1062,m,5,324,33.448,-112.074,FALSE,346935,Phoenix,85003,21,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Maricopa', 'EnglishName': 'Maricopa'}]",MST,-7,FALSE,America/Phoenix,,City,1
5,Philadelphia,Pennsylvania,1584138,40.0094,-75.1333,40.0094%2C-75.1333,US,Pennsylvania,State,PA,1,Pennsylvania,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Hunting Park,ft,0,157,m,5,48,40.017,-75.144,FALSE,2155989,Hunting Park,19140,65,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Philadelphia', 'EnglishName': 'Philadelphia'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
6,San Antonio,Texas,1532233,29.4724,-98.5251,29.4724%2C-98.5251,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",San Antonio,ft,0,675,m,5,206,29.424,-98.494,FALSE,351198,San Antonio,78205,25,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Bexar', 'EnglishName': 'Bexar'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
7,San Diego,California,1425976,32.8153,-117.135,32.8153%2C-117.135,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Kearny Mesa,ft,0,393,m,5,120,32.828,-117.143,FALSE,2628148,Kearny Mesa,92123,85,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'San Diego', 'EnglishName': 'San Diego'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
8,Dallas,Texas,1345047,32.7933,-96.7665,32.7933%2C-96.7665,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Dallas,ft,0,423,m,5,129,32.783,-96.807,FALSE,351194,Dallas,75202,25,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Dallas', 'EnglishName': 'Dallas'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
9,San Jose,California,1030119,37.2967,-121.818,37.2967%2C-121.818,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",San Jose,ft,0,82,m,5,25,37.339,-121.895,FALSE,347630,San Jose,95110,25,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Santa Clara', 'EnglishName': 'Santa Clara'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
10,Austin,Texas,964254,30.3039,-97.7544,30.3039%2C-97.7544,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Austin,ft,0,488,m,5,149,30.267,-97.743,FALSE,351193,Austin,78701,31,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Travis', 'EnglishName': 'Travis'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
11,Jacksonville,Florida,903889,30.3369,-81.6616,30.3369%2C-81.6616,US,Florida,State,FL,1,Florida,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Jacksonville,ft,0,39,m,5,12,30.332,-81.656,FALSE,347935,Jacksonville,32202,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Duval', 'EnglishName': 'Duval'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
12,Fort Worth,Texas,895008,32.7815,-97.3467,32.7815%2C-97.3467,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Fort Worth,ft,0,669,m,5,204,32.725,-97.321,FALSE,351196,Fort Worth,76104,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Tarrant', 'EnglishName': 'Tarrant'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
13,Columbus,Ohio,892533,39.9852,-82.9848,39.9852%2C-82.9848,US,Ohio,State,OH,1,Ohio,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Columbus,ft,0,764,m,5,233,39.961,-82.999,FALSE,350128,Columbus,43215,31,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Franklin', 'EnglishName': 'Franklin'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
14,San Francisco,California,883305,37.7272,-123.032,37.7272%2C-123.032,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Lincoln Park,ft,0,239,m,5,73,37.785,-122.499,FALSE,2628183,Lincoln Park,94121,85,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'San Francisco', 'EnglishName': 'San Francisco'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
15,Charlotte,North Carolina,872498,35.2078,-80.831,35.2078%2C-80.831,US,North Carolina,State,NC,1,North Carolina,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Charlotte,ft,0,715,m,5,218,35.227,-80.843,FALSE,349818,Charlotte,28202,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Mecklenburg', 'EnglishName': 'Mecklenburg'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
16,Indianapolis,Indiana,867125,39.7767,-86.1459,39.7767%2C-86.1459,US,Indiana,State,IN,1,Indiana,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Downtown,ft,0,701,m,5,214,39.769,-86.162,FALSE,2626739,Downtown,46204,65,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Marion', 'EnglishName': 'Marion'}]",EST,-5,FALSE,America/Indiana/Indianapolis,2020-03-08T07:00:00Z,City,1
